OTU,A15MPa,A15MPaII,A30MPa,A30MPaII,A8MPa,A8MPaII,AOrigin,Kingdom,Phylum,Class,Order,Family,Genus,Species
d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosarcinaceae;g__Methanosarcina;s__uncultured_archaeon,0,1,0,0,0,3,0,d__Archaea,p__Halobacterota,c__Methanosarcinia,o__Methanosarciniales,f__Methanosarcinaceae,g__Methanosarcina,s__uncultured_archaeon
d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosarcinaceae;g__Methanosarcina;s__uncultured_bacterium,0,5,0,0,0,0,0,d__Archaea,p__Halobacterota,c__Methanosarcinia,o__Methanosarciniales,f__Methanosarcinaceae,g__Methanosarcina,s__uncultured_bacterium
d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosarcinaceae;g__Methanosarcina;s__uncultured_prokaryote,0,13,0,0,0,0,0,d__Archaea,p__Halobacterota,c__Methanosarcinia,o__Methanosarciniales,f__Methanosarcinaceae,g__Methanosarcina,s__uncultured_prokaryote
d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosarcinaceae;g__uncultured;__,334,582,4,340,9,1759,19,d__Archaea,p__Halobacterota,c__Methanosarcinia,o__Methanosarciniales,f__Methanosarcinaceae,g__uncultured,__
d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosarcinaceae;g__uncultured;s__uncultured_Methanosarcinales,245,139,9,43,11,614,7,d__Archaea,p__Halobacterota,c__Methanosarcinia,o__Methanosarciniales,f__Methanosarcinaceae,g__uncultured,s__uncultured_Methanosarcinales
d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosarcinaceae;g__uncultured;s__uncultured_archaeon,59,90,7,128,0,216,5,d__Archaea,p__Halobacterota,c__Methanosarcinia,o__Methanosarciniales,f__Methanosarcinaceae,g__uncultured,s__uncultured_archaeon
d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Syntrophoarchaeaceae;g__Syntrophoarchaeaceae;s__uncultured_archaeon,0,1,0,0,0,0,0,d__Archaea,p__Halobacterota,c__Methanosarcinia,o__Methanosarciniales,f__Syntrophoarchaeaceae,g__Syntrophoarchaeaceae,s__uncultured_archaeon
d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__Iainarchaeales;g__Candidatus_Iainarchaeum;__,1,0,0,0,0,0,0,d__Archaea,p__Iainarchaeota,c__Iainarchaeia,o__Iainarchaeales,f__Iainarchaeales,g__Candidatus_Iainarchaeum,__
d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__Iainarchaeales;g__Candidatus_Iainarchaeum;s__metagenome,1,0,0,0,0,0,0,d__Archaea,p__Iainarchaeota,c__Iainarchaeia,o__Iainarchaeales,f__Iainarchaeales,g__Candidatus_Iainarchaeum,s__metagenome
d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__Iainarchaeales;g__Candidatus_Iainarchaeum;s__uncultured_archaeon,3,0,0,0,0,0,0,d__Archaea,p__Iainarchaeota,c__Iainarchaeia,o__Iainarchaeales,f__Iainarchaeales,g__Candidatus_Iainarchaeum,s__uncultured_archaeon
d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__Iainarchaeales;g__Iainarchaeales;__,4,5,1,0,0,0,0,d__Archaea,p__Iainarchaeota,c__Iainarchaeia,o__Iainarchaeales,f__Iainarchaeales,g__Iainarchaeales,__
d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__Iainarchaeales;g__Iainarchaeales;s__uncultured_archaeon,15,0,2,0,0,1,1,d__Archaea,p__Iainarchaeota,c__Iainarchaeia,o__Iainarchaeales,f__Iainarchaeales,g__Iainarchaeales,s__uncultured_archaeon
d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__Iainarchaeales;g__Iainarchaeales;s__uncultured_euryarchaeote,13,0,1,0,0,3,1,d__Archaea,p__Iainarchaeota,c__Iainarchaeia,o__Iainarchaeales,f__Iainarchaeales,g__Iainarchaeales,s__uncultured_euryarchaeote
d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__Iainarchaeales;g__Iainarchaeales;s__unidentified_archaeon,1,0,0,0,0,0,0,d__Archaea,p__Iainarchaeota,c__Iainarchaeia,o__Iainarchaeales,f__Iainarchaeales,g__Iainarchaeales,s__unidentified_archaeon
d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__CG1-02-32-21;g__CG1-02-32-21;s__uncultured_euryarchaeote,7,9,0,0,2,7,1,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__CG1-02-32-21,g__CG1-02-32-21,s__uncultured_euryarchaeote
d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeales;g__Micrarchaeales;s__uncultured_archaeon,1,0,0,0,0,0,0,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__Micrarchaeales,g__Micrarchaeales,s__uncultured_archaeon
d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeales;g__Micrarchaeales;s__uncultured_euryarchaeote,7,0,0,0,0,0,0,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__Micrarchaeales,g__Micrarchaeales,s__uncultured_euryarchaeote
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;__;__;__,40,96,0,0,0,4,0,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,__,__,__
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011;g__AR15;s__archaeon_GW2011_AR15,0,0,3,0,6,1,4,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__GW2011,g__AR15,s__archaeon_GW2011_AR15
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011;g__AR15;s__uncultured_euryarchaeote,1,0,0,0,0,0,0,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__GW2011,g__AR15,s__uncultured_euryarchaeote
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011_GWC1_47_15;g__GW2011_GWC1_47_15;__,0,2,0,0,0,0,0,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__GW2011_GWC1_47_15,g__GW2011_GWC1_47_15,__
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011_GWC1_47_15;g__GW2011_GWC1_47_15;s__Candidatus_Pacearchaeota,7,7,0,0,0,0,0,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__GW2011_GWC1_47_15,g__GW2011_GWC1_47_15,s__Candidatus_Pacearchaeota
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011_GWC1_47_15;g__GW2011_GWC1_47_15;s__uncultured_archaeon,2,0,0,0,0,0,0,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__GW2011_GWC1_47_15,g__GW2011_GWC1_47_15,s__uncultured_archaeon
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__SCGC_AAA011-D5;g__SCGC_AAA011-D5;__,84,78,0,0,4,0,3,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA011-D5,g__SCGC_AAA011-D5,__
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__SCGC_AAA011-D5;g__SCGC_AAA011-D5;s__Candidatus_Diapherotrites,15,12,0,0,0,0,0,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA011-D5,g__SCGC_AAA011-D5,s__Candidatus_Diapherotrites
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__SCGC_AAA011-D5;g__SCGC_AAA011-D5;s__Candidatus_Pacearchaeota,1,0,0,0,0,0,0,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA011-D5,g__SCGC_AAA011-D5,s__Candidatus_Pacearchaeota
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__SCGC_AAA011-D5;g__SCGC_AAA011-D5;s__uncultured_archaeon,238,100,3,10,6,12,15,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA011-D5,g__SCGC_AAA011-D5,s__uncultured_archaeon
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__SCGC_AAA011-D5;g__SCGC_AAA011-D5;s__uncultured_euryarchaeote,44,48,3,3,0,0,1,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA011-D5,g__SCGC_AAA011-D5,s__uncultured_euryarchaeote
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__SCGC_AAA286-E23;g__SCGC_AAA286-E23;s__Euryarchaeota_archaeon,8,0,0,0,0,0,0,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA286-E23,g__SCGC_AAA286-E23,s__Euryarchaeota_archaeon
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales;g__Woesearchaeales;__,157,77,8,10,36,13,23,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__Woesearchaeales,g__Woesearchaeales,__
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales;g__Woesearchaeales;s__Candidatus_Pacearchaeota,5,6,1,2,3,4,1,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__Woesearchaeales,g__Woesearchaeales,s__Candidatus_Pacearchaeota
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales;g__Woesearchaeales;s__marine_metagenome,0,0,0,0,0,0,3,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__Woesearchaeales,g__Woesearchaeales,s__marine_metagenome
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales;g__Woesearchaeales;s__metagenome,1,11,0,0,0,0,0,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__Woesearchaeales,g__Woesearchaeales,s__metagenome
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales;g__Woesearchaeales;s__uncultured_archaeon,21,15,2,0,2,1,3,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__Woesearchaeales,g__Woesearchaeales,s__uncultured_archaeon
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales;g__Woesearchaeales;s__uncultured_bacterium,70,241,15,0,10,5,7,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__Woesearchaeales,g__Woesearchaeales,s__uncultured_bacterium
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales;g__Woesearchaeales;s__uncultured_crenarchaeote,6,14,0,0,0,0,0,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__Woesearchaeales,g__Woesearchaeales,s__uncultured_crenarchaeote
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales;g__Woesearchaeales;s__uncultured_euryarchaeote,72,41,3,3,16,3,10,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__Woesearchaeales,g__Woesearchaeales,s__uncultured_euryarchaeote
d__Archaea;p__Thermoplasmatota;__;__;__;__;__,0,0,0,0,0,2,0,d__Archaea,p__Thermoplasmatota,__,__,__,__,__
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;__;__;__;__,0,8,0,0,1,1,1,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,__,__,__,__
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Benthic_Group_D_and_DHVEG-1;f__Marine_Benthic_Group_D_and_DHVEG-1;g__Marine_Benthic_Group_D_and_DHVEG-1;__,9487,7963,5142,3187,9407,6372,12379,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Benthic_Group_D_and_DHVEG-1,f__Marine_Benthic_Group_D_and_DHVEG-1,g__Marine_Benthic_Group_D_and_DHVEG-1,__
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Benthic_Group_D_and_DHVEG-1;f__Marine_Benthic_Group_D_and_DHVEG-1;g__Marine_Benthic_Group_D_and_DHVEG-1;s__archaeon_enrichment,18372,14050,9051,5303,17672,11237,25799,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Benthic_Group_D_and_DHVEG-1,f__Marine_Benthic_Group_D_and_DHVEG-1,g__Marine_Benthic_Group_D_and_DHVEG-1,s__archaeon_enrichment
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Benthic_Group_D_and_DHVEG-1;f__Marine_Benthic_Group_D_and_DHVEG-1;g__Marine_Benthic_Group_D_and_DHVEG-1;s__uncultured_DHVE1,0,2,0,0,0,0,0,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Benthic_Group_D_and_DHVEG-1,f__Marine_Benthic_Group_D_and_DHVEG-1,g__Marine_Benthic_Group_D_and_DHVEG-1,s__uncultured_DHVE1
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Benthic_Group_D_and_DHVEG-1;f__Marine_Benthic_Group_D_and_DHVEG-1;g__Marine_Benthic_Group_D_and_DHVEG-1;s__uncultured_Thermoplasmatales,46,62,21,5,16,16,41,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Benthic_Group_D_and_DHVEG-1,f__Marine_Benthic_Group_D_and_DHVEG-1,g__Marine_Benthic_Group_D_and_DHVEG-1,s__uncultured_Thermoplasmatales
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Benthic_Group_D_and_DHVEG-1;f__Marine_Benthic_Group_D_and_DHVEG-1;g__Marine_Benthic_Group_D_and_DHVEG-1;s__uncultured_archaeon,75,111,114,65,75,80,109,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Benthic_Group_D_and_DHVEG-1,f__Marine_Benthic_Group_D_and_DHVEG-1,g__Marine_Benthic_Group_D_and_DHVEG-1,s__uncultured_archaeon
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Benthic_Group_D_and_DHVEG-1;f__Marine_Benthic_Group_D_and_DHVEG-1;g__Marine_Benthic_Group_D_and_DHVEG-1;s__uncultured_crenarchaeote,4,2,1,0,0,1,1,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Benthic_Group_D_and_DHVEG-1,f__Marine_Benthic_Group_D_and_DHVEG-1,g__Marine_Benthic_Group_D_and_DHVEG-1,s__uncultured_crenarchaeote
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Benthic_Group_D_and_DHVEG-1;f__Marine_Benthic_Group_D_and_DHVEG-1;g__Marine_Benthic_Group_D_and_DHVEG-1;s__uncultured_eukaryote,37,17,2,0,1,0,0,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Benthic_Group_D_and_DHVEG-1,f__Marine_Benthic_Group_D_and_DHVEG-1,g__Marine_Benthic_Group_D_and_DHVEG-1,s__uncultured_eukaryote
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Benthic_Group_D_and_DHVEG-1;f__Marine_Benthic_Group_D_and_DHVEG-1;g__Marine_Benthic_Group_D_and_DHVEG-1;s__uncultured_euryarchaeote,338,230,100,42,176,104,223,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Benthic_Group_D_and_DHVEG-1,f__Marine_Benthic_Group_D_and_DHVEG-1,g__Marine_Benthic_Group_D_and_DHVEG-1,s__uncultured_euryarchaeote
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Group_II;f__Marine_Group_II;g__Marine_Group_II;__,2,0,0,0,20,0,45,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,__
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Group_II;f__Marine_Group_II;g__Marine_Group_II;s__uncultured_archaeon,0,1,0,0,12,0,14,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,s__uncultured_archaeon
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Group_II;f__Marine_Group_II;g__Marine_Group_II;s__uncultured_euryarchaeote,0,0,1,0,28,0,22,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,s__uncultured_euryarchaeote
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Group_II;f__Marine_Group_II;g__Marine_Group_II;s__uncultured_haloarchaeon,0,0,0,0,13,0,22,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,s__uncultured_haloarchaeon
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__uncultured;__,1,0,0,0,0,0,0,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__uncultured,__
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__uncultured;s__uncultured_archaeon,0,0,0,0,1,0,1,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__uncultured,s__uncultured_archaeon
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Candidatus_Methanomethylophilus;__,0,8,0,0,0,0,0,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__Candidatus_Methanomethylophilus,__
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__SG8-5;f__SG8-5;g__SG8-5;__,1,0,0,0,0,0,0,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__SG8-5,f__SG8-5,g__SG8-5,__
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__SG8-5;f__SG8-5;g__SG8-5;s__uncultured_Thermoplasmatales,1,0,0,0,0,0,0,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__SG8-5,f__SG8-5,g__SG8-5,s__uncultured_Thermoplasmatales
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__SG8-5;f__SG8-5;g__SG8-5;s__uncultured_sediment,36,43,7,9,3,10,11,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__SG8-5,f__SG8-5,g__SG8-5,s__uncultured_sediment
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__uncultured;f__uncultured;g__uncultured;s__uncultured_archaeon,6,10,0,0,6,0,9,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__uncultured,f__uncultured,g__uncultured,s__uncultured_archaeon
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__uncultured;f__uncultured;g__uncultured;s__uncultured_eukaryote,0,17,0,0,0,0,0,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__uncultured,f__uncultured,g__uncultured,s__uncultured_eukaryote
d__Archaea;p__Thermoplasmatota;c__Thermoplasmatota;o__Thermoplasmatota;f__Thermoplasmatota;g__uncultured;__,0,0,0,0,0,0,2,d__Archaea,p__Thermoplasmatota,c__Thermoplasmatota,o__Thermoplasmatota,f__Thermoplasmatota,g__uncultured,__
d__Archaea;p__uncultured;c__uncultured;o__uncultured;f__uncultured;g__uncultured;s__uncultured_archaeon,3,0,0,0,0,0,0,d__Archaea,p__uncultured,c__uncultured,o__uncultured,f__uncultured,g__uncultured,s__uncultured_archaeon